transaction_id,customer_id,transaction_amount,transaction_type,is_laundering
0,103,263.69585396069056,debit,0
1,436,814.0097392215115,debit,0
2,861,1443.159852539795,transfer,0
3,271,163.42430519136047,debit,0
4,107,222.41192597012065,credit,0
5,72,386.94233865553053,transfer,0
6,701,261.783291068184,transfer,0
7,21,1158.7966092738277,debit,0
8,615,1885.2814415540563,debit,0
9,122,1534.2711331055445,transfer,0
10,467,1537.630436948214,credit,0
11,215,13446.680786922228,debit,0
12,331,2070.45858307455,transfer,0
13,459,3554.417133003434,credit,0
14,88,588.7939989338036,debit,0
15,373,4518.833724560449,transfer,0
16,100,548.1073787132473,transfer,0
17,872,2032.806219110939,debit,0
18,664,140.18313819631916,credit,0
19,131,1407.1915632404825,credit,0
20,662,253.8972473670494,transfer,0
21,309,4465.129435150191,credit,0
22,770,4079.846699327984,transfer,0
23,344,544.6039965191225,debit,0
24,492,23726.845152154507,credit,0
25,414,714.2139417124844,debit,0
26,806,97.70684802736567,transfer,0
27,386,340.80928675640826,debit,0
28,192,229.01522051195144,credit,0
29,956,1937.9832561954938,debit,0
30,277,171.90731408847023,credit,0
31,161,488.4216043898353,credit,0
32,460,1757.817489625038,credit,0
33,314,1350.1471183732042,credit,0
34,22,1076.030710302032,credit,0
35,253,1324.7787966597084,transfer,0
36,748,629.0746019606493,debit,0
37,857,98.92598225385697,transfer,0
38,561,604.7061689413237,debit,0
39,475,2215.2591568556304,debit,0
40,59,893.0097660883913,debit,0
41,511,1972.8462178905504,transfer,0
42,682,454.78530740458297,credit,0
43,476,4873.190425811923,credit,0
44,700,23.701141197924848,transfer,0
45,976,1355.8187161186586,credit,0
46,783,8294.27271017146,debit,0
47,190,10368.708733737025,credit,0
48,958,774.5333710422791,credit,0
49,687,150.0101212073602,credit,0
50,958,8516.061634787238,debit,0
51,563,1014.5518326624812,credit,0
52,876,863.9766051762713,credit,0
53,567,287.35490043100117,credit,0
54,244,168.2025282624288,transfer,0
55,832,2554.967425870645,transfer,0
56,505,2995.322493768779,credit,0
57,131,1483.7322793461055,transfer,0
58,485,348.60215941751574,transfer,0
59,819,221.96101588629318,debit,0
60,647,127.94839482157911,transfer,0
61,21,473.0410805998395,transfer,0
62,841,242.55285681567537,credit,0
63,167,84.43951312739851,debit,0
64,274,2913.229441489278,debit,0
65,388,151.62406606995253,debit,0
66,601,4797.662130722248,transfer,0
67,316,1980.5058387369438,credit,0
68,14,1705.326354095256,debit,0
69,242,13332.54835193723,debit,0
70,777,159.3807587994051,transfer,0
71,346,4066.988157588241,debit,0
72,565,701.7211763692159,credit,0
73,898,51875.67320758003,debit,0
74,340,619.4353599241048,credit,0
75,92,486.1598580337521,credit,0
76,367,2076.2188593039023,credit,0
77,956,801.6220213417992,transfer,0
78,455,351.53369123731363,transfer,0
79,428,255.8483341264533,credit,0
80,509,9772.296098074237,credit,0
81,776,191.48463150258212,debit,0
82,943,1532.4627189587623,debit,0
83,35,5346.921263279948,debit,0
